burlig_trt,burlig_trt_take,baseline_employees,baseline_wages,baseline_sales,baseline_owner_female,endline_wages,endline_employees,endline_sales,endline_owner_female
0,0,24.9975,80410,1.92e+07,1,880329.9,24.9975,1.92e+07,1
0,0,23.28154,132857,1.92e+07,0,877866.4,23.28154,1.93e+07,0
0,0,26.26497,35000,1.95e+07,1,875479,26.26497,1.96e+07,1
0,0,22.74114,111638,1.95e+07,1,839354.6,22.74114,1.95e+07,1
0,0,26.2578,35000,1.96e+07,1,875249.7,26.2578,1.96e+07,1
0,0,37.19376,78959,1.98e+07,0,1269160,37.19376,1.99e+07,0
0,0,25.3115,84619,1.90e+07,1,894586.9,25.3115,1.91e+07,1
0,0,34.41056,35000,1.95e+07,1,1136138,34.41056,1.96e+07,1
0,0,34.40815,225391,1.91e+07,0,1326452,34.40815,1.91e+07,0
0,0,25.28099,63467,1.97e+07,0,872458.6,25.28099,1.96e+07,0
0,0,33.10005,157066,1.95e+07,0,1216268,33.10005,1.95e+07,0
0,0,31.17586,35000,1.91e+07,0,1032627,31.17586,1.92e+07,0
0,0,26.43579,35000,1.93e+07,0,880945.3,26.43579,1.93e+07,0
0,0,29.29869,60002,1.95e+07,0,997560.1,29.29869,1.94e+07,0
0,0,26.55714,35000,1.94e+07,0,884828.4,26.55714,1.94e+07,0
0,0,22.96026,35000,1.91e+07,0,769728.2,22.96026,1.91e+07,0
0,0,21.28422,35000,1.97e+07,0,716095,21.28422,1.97e+07,0
0,0,23.18843,35000,1.94e+07,0,777029.9,23.18843,1.94e+07,0
0,0,34.84876,161225,1.93e+07,0,1276385,34.84876,1.93e+07,0
0,0,31.15652,142529,1.90e+07,1,1139538,31.15652,1.89e+07,1
0,0,32.53814,35000,1.94e+07,0,1076221,32.53814,1.94e+07,0
0,0,39.15834,118409,1.84e+07,1,1371476,39.15834,1.85e+07,1
0,0,23.77901,35000,2.04e+07,0,795928.4,23.77901,2.04e+07,0
0,0,34.77637,35000,1.96e+07,0,1147844,34.77637,1.96e+07,0
0,0,25.87858,194616,1.94e+07,1,1022731,25.87858,1.94e+07,1
0,0,31.49035,113487,1.98e+07,0,1121178,31.49035,1.98e+07,0
0,0,29.79948,163234,1.97e+07,0,1116817,29.79948,1.96e+07,0
0,0,33.22624,286348,1.94e+07,0,1349588,33.22624,1.95e+07,0
0,0,26.51247,118004,1.99e+07,1,966403.1,26.51247,1.99e+07,1
0,0,29.36384,35000,1.94e+07,1,974642.9,29.36384,1.94e+07,1
0,0,23.5407,35000,1.94e+07,0,788302.3,23.5407,1.94e+07,0
0,0,30.17423,365493,1.96e+07,0,1331068,30.17423,1.95e+07,0
0,0,34.32456,70745,1.96e+07,0,1169131,34.32456,1.97e+07,0
0,0,29.59752,25734,1.93e+07,0,972854.5,29.59752,1.93e+07,0
0,0,21.86167,35000,1.93e+07,0,734573.4,21.86167,1.94e+07,0
0,0,33.43019,56837,1.95e+07,0,1126603,33.43019,1.95e+07,0
0,0,28.87955,35000,1.95e+07,0,959145.4,28.87955,1.95e+07,0
0,0,44.22945,443120,1.99e+07,0,1858463,44.22945,1.99e+07,0
0,0,35.54108,151743,1.97e+07,0,1289058,35.54108,1.97e+07,0
0,0,34.06395,35000,1.97e+07,1,1125046,34.06395,1.97e+07,1
0,0,22.64069,35000,1.93e+07,0,759502,22.64069,1.93e+07,0
0,0,27.31373,265312,1.89e+07,1,1139351,27.31373,1.90e+07,1
0,0,25.00143,197314,1.90e+07,0,997359.9,25.00143,1.90e+07,0
0,0,30.0546,35000,1.95e+07,0,996747.3,30.0546,1.94e+07,0
0,0,33.91312,35000,1.91e+07,1,1120220,33.91312,1.91e+07,1
0,0,31.23825,119441,1.91e+07,1,1119065,31.23825,1.91e+07,1
0,0,29.90886,80693,1.94e+07,0,1037777,29.90886,1.94e+07,0
0,0,33.45383,73739,1.97e+07,0,1144262,33.45383,1.97e+07,0
0,0,37.05825,101160,1.98e+07,1,1287024,37.05825,1.98e+07,1
0,0,27.31564,76348,2.00e+07,0,950448.4,27.31564,2.00e+07,0
0,0,30.15029,35000,1.99e+07,1,999809.3,30.15029,1.99e+07,1
0,0,27.70438,35000,1.88e+07,1,921540.3,27.70438,1.86e+07,1
0,0,36.35988,106774,1.93e+07,0,1270290,36.35988,1.92e+07,0
0,0,28.62979,16462,1.91e+07,0,932615.3,28.62979,1.90e+07,0
0,0,25.81484,35000,1.97e+07,0,861074.9,25.81484,1.97e+07,0
0,0,28.38457,78171,1.97e+07,1,986477.1,28.38457,1.97e+07,1
0,0,34.38326,35000,1.92e+07,1,1135264,34.38326,1.93e+07,1
0,0,30.4381,35000,1.95e+07,0,1009019,30.4381,1.95e+07,0
0,0,32.41962,35000,1.97e+07,0,1072428,32.41962,1.97e+07,0
0,0,27.9416,35000,1.93e+07,1,929131.2,27.9416,1.93e+07,1
0,0,26.94551,27419,1.97e+07,1,889675.3,26.94551,1.97e+07,1
0,0,24.62399,196770,1.96e+07,0,984737.6,24.62399,1.96e+07,0
0,0,32.86533,35000,1.98e+07,0,1086690,32.86533,1.97e+07,0
0,0,34.00589,35000,1.92e+07,0,1123189,34.00589,1.92e+07,0
0,0,25.00295,31058,1.95e+07,0,831152.5,25.00295,1.94e+07,0
0,0,30.46792,155175,1.93e+07,0,1130149,30.46792,1.93e+07,0
0,0,33.98216,252961,1.94e+07,1,1340390,33.98216,1.94e+07,1
0,0,33.07977,68196,1.92e+07,1,1126749,33.07977,1.93e+07,1
0,0,34.60328,35000,1.91e+07,0,1142305,34.60328,1.91e+07,0
0,0,32.89622,15649,1.93e+07,1,1068328,32.89622,1.92e+07,1
0,0,29.4471,191556,1.91e+07,0,1133863,29.4471,1.91e+07,0
0,0,27.08436,252575,1.95e+07,0,1119275,27.08436,1.95e+07,0
0,0,27.5681,35000,1.95e+07,0,917179.2,27.5681,1.96e+07,0
0,0,32.29253,323267,1.95e+07,0,1356628,32.29253,1.95e+07,0
0,0,29.5516,35000,1.92e+07,1,980651.1,29.5516,1.92e+07,1
0,0,26.287,36184,1.95e+07,1,877367.9,26.287,1.95e+07,1
0,0,29.7595,35000,1.99e+07,0,987304.1,29.7595,1.98e+07,0
